nct_id,snapshot_months,start_year,label,duration_days,phase_num,sponsor_num,is_industry,log_planned_enrollment,n_arms,n_countries,is_multinational,n_primary_outcomes,log_n_eligibility_chars,has_drug,has_device,has_biological,n_sites,n_status_changes,had_suspension,n_amendments,enrollment_velocity,enrollment_still_anticipated,status_is_recruiting,status_is_active_not_rec,status_is_suspended,status_is_not_yet_rec,elapsed_days
NCT06775652,6,2018,0,2403.0,3,4,0,5.541263545158426,2,1,0,1,8.442038517815478,1,0,0,1,0,0,0,1.3956043956043955,0,0,0,0,0,182
NCT06775652,12,2018,0,2403.0,3,4,0,5.541263545158426,2,1,0,1,8.442038517815478,1,0,0,1,0,0,0,0.6978021978021978,0,0,0,0,0,364
NCT04995978,3,2021,1,413.0,2,4,0,0.0,2,1,0,1,6.139884552226255,1,0,0,1,0,0,0,0.0,0,0,0,0,0,91
NCT04995978,6,2021,1,413.0,2,4,0,0.0,2,1,0,1,6.139884552226255,1,0,0,1,0,0,0,0.0,0,0,0,0,0,182
NCT04995978,12,2021,1,413.0,2,4,0,0.0,2,1,0,1,6.139884552226255,1,0,0,1,0,0,0,0.0,0,0,0,0,0,364
NCT00144378,3,2002,0,,3,4,0,3.8066624897703196,0,1,0,1,7.492760300922379,1,0,0,1,0,0,0,0.4835164835164835,0,0,0,0,0,91
NCT00144378,6,2002,0,,3,4,0,3.8066624897703196,0,1,0,1,7.492760300922379,1,0,0,1,0,0,0,0.24175824175824176,0,0,0,0,0,182
NCT00144378,12,2002,0,,3,4,0,3.8066624897703196,0,1,0,1,7.492760300922379,1,0,0,1,0,0,0,0.12087912087912088,0,0,0,0,0,364
NCT00057785,3,2003,0,5052.0,2,4,0,4.23410650459726,1,1,0,1,7.4067107301776405,1,0,0,17,0,0,0,0.7472527472527473,0,0,0,0,0,91
NCT00057785,6,2003,0,5052.0,2,4,0,4.23410650459726,1,1,0,1,7.4067107301776405,1,0,0,17,0,0,0,0.37362637362637363,0,0,0,0,0,182
NCT00057785,12,2003,0,5052.0,2,4,0,4.23410650459726,1,1,0,1,7.4067107301776405,1,0,0,17,0,0,0,0.18681318681318682,0,0,0,0,0,364
NCT00007943,3,2000,0,179.0,2,4,0,2.772588722239781,0,1,0,0,7.496652438168283,1,0,0,1,0,0,0,0.16483516483516483,0,0,0,0,0,91
NCT00514215,3,2006,0,1520.0,2,4,0,2.1972245773362196,1,1,0,1,8.153637486385282,0,0,1,1,0,0,0,0.08791208791208792,0,0,0,0,0,91
NCT00514215,6,2006,0,1520.0,2,4,0,2.1972245773362196,1,1,0,1,8.153637486385282,0,0,1,1,0,0,0,0.04395604395604396,0,0,0,0,0,182
NCT00514215,12,2006,0,1520.0,2,4,0,2.1972245773362196,1,1,0,1,8.153637486385282,0,0,1,1,0,0,0,0.02197802197802198,0,0,0,0,0,364
NCT00933335,3,1998,0,4383.0,2,0,1,3.6635616461296463,1,0,0,25,8.04044688130311,0,0,1,0,0,0,0,0.4175824175824176,0,0,0,0,0,91
NCT00933335,6,1998,0,4383.0,2,0,1,3.6635616461296463,1,0,0,25,8.04044688130311,0,0,1,0,0,0,0,0.2087912087912088,0,0,0,0,0,182
NCT00933335,12,1998,0,4383.0,2,0,1,3.6635616461296463,1,0,0,25,8.04044688130311,0,0,1,0,0,0,0,0.1043956043956044,0,0,0,0,0,364
NCT00868608,3,2009,0,1428.0,2,0,1,4.406719247264253,1,9,1,1,6.942156705699469,1,0,0,42,0,0,0,0.8901098901098901,0,0,0,0,0,91
NCT00868608,6,2009,0,1428.0,2,0,1,4.406719247264253,1,9,1,1,6.942156705699469,1,0,0,42,0,0,0,0.44505494505494503,0,0,0,0,0,182
NCT00868608,12,2009,0,1428.0,2,0,1,4.406719247264253,1,9,1,1,6.942156705699469,1,0,0,42,0,0,0,0.22252747252747251,0,0,0,0,0,364
NCT00020943,3,2001,0,3014.0,2,4,0,4.382026634673881,1,2,1,1,7.884576510596324,1,0,1,81,0,0,0,0.8681318681318682,0,0,0,0,0,91
NCT00020943,6,2001,0,3014.0,2,4,0,4.382026634673881,1,2,1,1,7.884576510596324,1,0,1,81,0,0,0,0.4340659340659341,0,0,0,0,0,182
NCT00020943,12,2001,0,3014.0,2,4,0,4.382026634673881,1,2,1,1,7.884576510596324,1,0,1,81,0,0,0,0.21703296703296704,0,0,0,0,0,364
NCT04238715,3,2020,0,2112.0,2,0,1,4.1588830833596715,1,2,1,1,8.19946419761216,1,0,0,56,0,0,0,0.6923076923076923,0,0,0,0,0,91
NCT04238715,6,2020,0,2112.0,2,0,1,4.1588830833596715,1,2,1,1,8.19946419761216,1,0,0,56,0,0,0,0.34615384615384615,0,0,0,0,0,182
NCT04238715,12,2020,0,2112.0,2,0,1,4.1588830833596715,1,2,1,1,8.19946419761216,1,0,0,56,0,0,0,0.17307692307692307,0,0,0,0,0,364
NCT03342911,3,2017,0,1058.0,2,4,0,3.5553480614894135,1,1,0,1,8.630878955820053,1,0,1,3,0,0,0,0.37362637362637363,0,0,0,0,0,91
NCT03342911,6,2017,0,1058.0,2,4,0,3.5553480614894135,1,1,0,1,8.630878955820053,1,0,1,3,0,0,0,0.18681318681318682,0,0,0,0,0,182
NCT03342911,12,2017,0,1058.0,2,4,0,3.5553480614894135,1,1,0,1,8.630878955820053,1,0,1,3,0,0,0,0.09340659340659341,0,0,0,0,0,364
NCT03563144,3,2018,1,1288.0,2,0,1,0.0,3,1,0,1,8.61104776688786,1,0,1,1,0,0,0,0.0,0,0,0,0,0,91
